                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.58,                 2.5217,                 3.1949,                0.00973,                0.31214,                0.00758,                0.00252,                 3.2412,                    inf,                 6.7328,               0.070221,              0.0033088,              0.0033088
                      2,                 1.9688,                  1.924,                 2.5314,                0.43909,                0.37572,                0.36755,                0.16855,                  1.747,                 4.0712,                 2.3313,               0.039958,              0.0063791,              0.0063791
                      3,                 1.7598,                 1.7248,                 2.2831,                0.63394,                0.57803,                0.60818,                0.31254,                 1.5201,                 2.3538,                 2.1246,              0.0094305,              0.0091854,              0.0091854
                      4,                 1.6535,                 1.6238,                 2.1615,                0.83539,                 0.6747,                0.77413,                0.42892,                 1.4806,                 1.9091,                 2.1214,               0.008812,               0.008812,               0.008812
                      5,                 1.5348,                 1.4948,                 2.0305,                0.88803,                0.75145,                0.84529,                 0.5495,                 1.2792,                 1.1676,                 1.7896,               0.008416,               0.008416,               0.008416
                      6,                 1.4796,                 1.4189,                 1.9592,                0.81066,                0.75723,                0.83102,                0.56424,                 1.2819,                 1.2911,                 1.7912,                0.00802,                0.00802,                0.00802
                      7,                 1.4171,                  1.335,                 1.9125,                 0.8495,                0.80347,                 0.8749,                0.58826,                 1.1749,                 1.0191,                 1.6771,               0.007624,               0.007624,               0.007624
                      8,                 1.3946,                 1.2633,                  1.868,                0.86822,                0.83785,                0.89145,                0.60084,                 1.1326,                 1.2096,                 1.6042,               0.007228,               0.007228,               0.007228
                      9,                 1.3369,                 1.2188,                 1.8175,                0.93626,                0.87861,                0.95365,                0.68343,                 1.0407,                0.85244,                 1.5171,               0.006832,               0.006832,               0.006832
                     10,                 1.3238,                 1.1654,                 1.8015,                 0.9108,                0.88528,                 0.9295,                0.67634,                 1.0531,                0.88439,                 1.5391,               0.006436,               0.006436,               0.006436
                     11,                 1.2894,                 1.1104,                 1.7583,                 0.9594,                0.85549,                0.93524,                0.67476,                  1.031,                0.84385,                 1.4598,                0.00604,                0.00604,                0.00604
                     12,                 1.2661,                  1.091,                 1.7588,                0.94542,                0.87283,                0.93931,                0.70636,                 1.0018,                0.74066,                 1.4863,               0.005644,               0.005644,               0.005644
                     13,                 1.2206,                 1.0437,                 1.7141,                0.94673,                0.89017,                0.95259,                0.70274,                0.93252,                 1.0041,                 1.4033,               0.005248,               0.005248,               0.005248
                     14,                 1.2079,                  1.004,                 1.6971,                0.89871,                0.90173,                0.92858,                0.67505,                0.96976,                0.74819,                 1.4017,               0.004852,               0.004852,               0.004852
                     15,                 1.1712,                0.98306,                 1.6713,                 0.9392,                0.89286,                0.95949,                 0.7082,                0.92206,                0.75499,                 1.3884,               0.004456,               0.004456,               0.004456
                     16,                 1.0782,                0.82144,                 1.6191,                0.95336,                0.82081,                0.93525,                 0.6632,                 1.0829,                0.74318,                  1.501,                0.00406,                0.00406,                0.00406
                     17,                 1.0489,                0.76473,                  1.608,                0.93164,                0.86657,                0.92628,                0.68485,                0.98772,                0.71895,                 1.4584,               0.003664,               0.003664,               0.003664
                     18,                 1.0461,                0.75472,                 1.5898,                0.94348,                0.86842,                0.95265,                 0.7045,                 1.0285,                0.65436,                 1.4723,               0.003268,               0.003268,               0.003268
                     19,                  1.012,                0.71966,                 1.5567,                0.94219,                0.90751,                0.95812,                0.73368,                0.93588,                0.61708,                 1.3913,               0.002872,               0.002872,               0.002872
                     20,                0.99633,                0.69009,                 1.5372,                0.97394,                0.86428,                0.95775,                0.73874,                0.93016,                 0.6063,                 1.3786,               0.002476,               0.002476,               0.002476
                     21,                0.96858,                0.66273,                 1.5063,                0.97097,                0.87283,                0.95184,                0.71602,                0.99147,                0.61913,                 1.4126,                0.00208,                0.00208,                0.00208
                     22,                  0.956,                0.64176,                 1.5024,                0.96347,                0.91463,                   0.97,                0.73744,                 0.9598,                0.57003,                 1.3763,               0.001684,               0.001684,               0.001684
                     23,                0.92372,                0.61834,                 1.4712,                0.95828,                0.92932,                0.96625,                0.72755,                0.97278,                0.56522,                 1.3926,               0.001288,               0.001288,               0.001288
                     24,                0.91688,                0.60268,                 1.4626,                0.95741,                0.90962,                0.96162,                0.72999,                0.96132,                 0.5534,                 1.3891,               0.000892,               0.000892,               0.000892
                     25,                0.90645,                0.58791,                 1.4537,                0.97365,                0.91908,                 0.9675,                0.74826,                0.92306,                0.52874,                 1.3676,               0.000496,               0.000496,               0.000496
